n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization,rho,alpha,beta,pe_correlation,size_label,correlation_label
100,0.500000,0.400000,4.000000,15,200,59,1657,2436,GRASP-PR heuristic,27,27.000000,1,0,0.008902,27,30.000000,1,14,4233.000000,2576.000000,0.870000,-1.000000,10.000000,1.000000,positive,robust,positive
100,0.500000,0.400000,4.000000,16,200,59,1506,2635,GRASP-PR heuristic,22,22.000000,1,0,0.009828,22,30.000000,1,15,4291.000000,2785.000000,0.878333,-1.000000,10.000000,1.000000,positive,robust,positive
100,0.500000,0.400000,4.000000,17,200,56,1718,2800,GRASP-PR heuristic,24,24.000000,1,0,0.010708,24,30.000000,1,16,4678.000000,2960.000000,0.875000,-1.000000,10.000000,1.000000,positive,robust,positive
100,0.500000,0.400000,4.000000,18,196,58,1633,2608,GRASP-PR heuristic,22,22.000000,1,0,0.009730,22,30.000000,1,15,4391.000000,2758.000000,0.887075,-1.000000,10.000000,1.000000,positive,robust,positive
100,0.500000,0.400000,4.000000,19,200,55,1553,2768,GRASP-PR heuristic,24,24.000000,1,0,0.010514,24,30.000000,1,16,4481.000000,2928.000000,0.865000,-1.000000,10.000000,1.000000,positive,robust,positive
100,0.500000,0.400000,4.000000,0,200,97,1576,2692,GRASP-PR heuristic,24,24.000000,1,0,0.010370,24,30.000000,1,15,4418.000000,2842.000000,0.897333,-1.000000,10.000000,1.000000,independent,robust,independent
100,0.500000,0.400000,4.000000,1,200,96,1480,2515,GRASP-PR heuristic,27,27.000000,1,0,0.009627,27,30.000000,1,14,4135.000000,2655.000000,0.898214,-1.000000,10.000000,1.000000,independent,robust,independent
100,0.500000,0.400000,4.000000,2,200,96,1683,2639,GRASP-PR heuristic,36,36.000000,1,0,0.010342,36,30.000000,1,15,4472.000000,2789.000000,0.879667,-1.000000,10.000000,1.000000,independent,robust,independent
100,0.500000,0.400000,4.000000,3,200,97,1639,2733,GRASP-PR heuristic,31,31.000000,1,0,0.010226,31,30.000000,1,16,4532.000000,2893.000000,0.854063,-1.000000,10.000000,1.000000,independent,robust,independent
100,0.500000,0.400000,4.000000,4,196,98,1601,2654,GRASP-PR heuristic,27,27.000000,1,17886,0.484985,28,30.000000,1,15,4405.000000,2804.000000,0.902721,-1.000000,10.000000,1.000000,independent,robust,independent
100,0.500000,0.400000,4.000000,5,200,98,1582,2717,GRASP-PR heuristic,30,30.000000,1,0,0.010579,30,30.000000,1,15,4449.000000,2867.000000,0.905667,-1.000000,10.000000,1.000000,independent,robust,independent
100,0.500000,0.400000,4.000000,6,200,98,1515,2505,GRASP-PR heuristic,27,27.000000,1,0,0.009671,27,30.000000,1,14,4160.000000,2645.000000,0.894643,-1.000000,10.000000,1.000000,independent,robust,independent
100,0.500000,0.400000,4.000000,7,200,96,1648,2548,GRASP-PR heuristic,29,29.000000,1,0,0.009928,29,30.000000,1,16,4356.000000,2708.000000,0.796250,-1.000000,10.000000,1.000000,independent,robust,independent
100,0.500000,0.400000,4.000000,8,196,95,1657,2540,GRASP-PR heuristic,29,29.000000,1,0,0.009921,29,30.000000,1,15,4347.000000,2690.000000,0.863946,-1.000000,10.000000,1.000000,independent,robust,independent
100,0.500000,0.400000,4.000000,9,200,99,1475,2435,GRASP-PR heuristic,28,28.000000,1,0,0.009377,28,30.000000,1,14,4050.000000,2575.000000,0.869643,-1.000000,10.000000,1.000000,independent,robust,independent
