n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization
50,0.500000,0.400000,3.000000,18,150,49,798,1405,"Strengthened CPLEX MILP heuristic-start",16,16.000000,1,0,0.065671,16,600.000000,1,11,2313.000000,1515.000000,0.851515
50,0.500000,0.400000,3.000000,19,150,50,796,1263,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,0,0.067429,15,600.000000,1,10,2159.000000,1363.000000,0.842000
50,0.500000,0.400000,3.000000,20,147,49,737,1446,"Strengthened CPLEX MILP heuristic-start",19,19.000000,1,0,0.048154,19,600.000000,1,12,2303.000000,1566.000000,0.819728
50,0.500000,0.400000,3.000000,21,141,50,785,1280,"Strengthened CPLEX MILP heuristic-start",16,16.000000,1,0,0.059216,16,600.000000,1,11,2175.000000,1390.000000,0.825274
50,0.500000,0.400000,3.000000,22,141,49,840,1346,"Strengthened CPLEX MILP heuristic-start",14,14.000000,1,52300,164.437361,14,600.000000,1,12,2306.000000,1466.000000,0.795508
50,0.500000,0.400000,3.000000,23,147,46,790,1213,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,0,0.069506,15,600.000000,1,10,2103.000000,1313.000000,0.825170
50,0.500000,0.400000,3.000000,24,141,50,830,1166,"Strengthened CPLEX MILP heuristic-start",14,14.000000,1,0,0.068045,14,600.000000,1,10,2096.000000,1266.000000,0.826950
50,0.500000,0.400000,3.000000,25,150,50,717,1442,"Strengthened CPLEX MILP heuristic-start",14,14.000000,1,2297,3.406130,15,600.000000,1,16,2319.000000,1602.000000,0.600833
50,0.500000,0.400000,3.000000,26,147,50,754,1378,"Strengthened CPLEX MILP heuristic-start",14,14.000000,1,0,0.058343,14,600.000000,1,11,2242.000000,1488.000000,0.852195
50,0.500000,0.400000,3.000000,27,150,49,800,1339,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,0,0.062611,15,600.000000,1,11,2249.000000,1449.000000,0.811515
50,0.500000,0.400000,3.000000,28,150,50,831,1308,"Strengthened CPLEX MILP heuristic-start",16,16.000000,1,1898,3.121957,17,600.000000,1,15,2289.000000,1458.000000,0.581333
50,0.500000,0.400000,3.000000,29,150,50,838,1363,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,0,0.084115,15,600.000000,1,11,2311.000000,1473.000000,0.826061
50,0.500000,0.400000,3.500000,0,175,48,814,1289,"Strengthened CPLEX MILP heuristic-start",15,15.000000,1,0,0.060733,15,600.000000,1,9,2193.000000,1379.000000,0.818413
50,0.500000,0.400000,3.500000,1,175,47,859,1096,"Strengthened CPLEX MILP heuristic-start",13,13.000000,1,0,0.057822,13,600.000000,1,8,2035.000000,1176.000000,0.782857
