n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization
50,0.500000,0.400000,3.500000,2,175,49,916,1281,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.065930,13,600.000000,1,9,2287.000000,1371.000000,0.813333
50,0.500000,0.400000,3.500000,3,172,49,741,1482,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,0,0.048509,16,600.000000,1,11,2333.000000,1592.000000,0.783298
50,0.500000,0.400000,3.500000,4,175,49,756,1285,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.048676,17,600.000000,1,9,2131.000000,1375.000000,0.815873
50,0.500000,0.400000,3.500000,5,175,49,849,1440,Strengthened CPLEX MILP heuristic-start,19,19.000000,1,0,0.068254,19,600.000000,1,10,2389.000000,1540.000000,0.822857
50,0.500000,0.400000,3.500000,6,175,49,855,1331,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.065293,15,600.000000,1,10,2286.000000,1431.000000,0.760571
50,0.500000,0.400000,3.500000,7,175,49,898,1433,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,0,0.048853,16,600.000000,1,10,2431.000000,1533.000000,0.818857
50,0.500000,0.400000,3.500000,8,172,50,847,1387,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.070188,15,600.000000,1,9,2324.000000,1477.000000,0.895995
50,0.500000,0.400000,3.500000,9,168,50,838,1203,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,0,0.050409,16,600.000000,1,8,2121.000000,1283.000000,0.895089
50,0.500000,0.400000,3.500000,10,172,49,882,1271,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.067246,13,600.000000,1,9,2243.000000,1361.000000,0.821059
50,0.500000,0.400000,3.500000,11,172,49,787,1223,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.061745,14,600.000000,1,9,2100.000000,1313.000000,0.790052
50,0.500000,0.400000,3.500000,12,175,48,829,1264,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,2329,2.371606,18,600.000000,1,14,2233.000000,1404.000000,0.515918
50,0.500000,0.400000,3.500000,13,175,50,794,1225,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,0,0.052748,16,600.000000,1,8,2099.000000,1305.000000,0.875000
50,0.500000,0.400000,3.500000,14,165,49,742,1203,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.058724,14,600.000000,1,10,2045.000000,1303.000000,0.729091
50,0.500000,0.400000,3.500000,15,175,48,815,1298,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.053885,17,600.000000,1,9,2203.000000,1388.000000,0.824127
50,0.500000,0.400000,3.500000,16,175,49,801,1406,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.069682,17,600.000000,1,10,2307.000000,1506.000000,0.803429
50,0.500000,0.400000,3.500000,17,175,50,739,1260,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.054102,15,600.000000,1,9,2089.000000,1350.000000,0.800000
50,0.500000,0.400000,3.500000,19,175,50,796,1263,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.068687,15,600.000000,1,9,2149.000000,1353.000000,0.801905
50,0.500000,0.400000,3.500000,20,172,49,737,1446,Strengthened CPLEX MILP heuristic-start,19,19.000000,1,0,0.050581,19,600.000000,1,10,2283.000000,1546.000000,0.840698
50,0.500000,0.400000,4.000000,0,200,48,814,1289,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,14340,49.951372,15,600.000000,1,9,2193.000000,1379.000000,0.716111
50,0.500000,0.400000,4.000000,1,200,47,859,1096,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,2309,2.480765,13,600.000000,1,9,2045.000000,1186.000000,0.608889
50,0.500000,0.400000,4.000000,2,200,49,916,1281,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.068157,13,600.000000,1,8,2277.000000,1361.000000,0.800625
50,0.500000,0.400000,4.000000,3,196,49,741,1482,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,0,0.049769,16,600.000000,1,9,2313.000000,1572.000000,0.840136
50,0.500000,0.400000,4.000000,4,200,49,756,1285,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.063201,17,600.000000,1,8,2121.000000,1365.000000,0.803125
50,0.500000,0.400000,4.000000,5,200,49,849,1440,Strengthened CPLEX MILP heuristic-start,19,19.000000,1,0,0.067164,19,600.000000,1,8,2369.000000,1520.000000,0.900000
50,0.500000,0.400000,4.000000,6,200,49,855,1331,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.068224,15,600.000000,1,8,2266.000000,1411.000000,0.831875
50,0.500000,0.400000,4.000000,7,200,49,898,1433,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,1598,1.915860,16,600.000000,1,12,2451.000000,1553.000000,0.597083
50,0.500000,0.400000,4.000000,8,196,50,847,1387,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.073365,15,600.000000,1,9,2324.000000,1477.000000,0.786281
50,0.500000,0.400000,4.000000,9,192,50,838,1203,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,0,0.068560,16,600.000000,1,8,2121.000000,1283.000000,0.783203
50,0.500000,0.400000,4.000000,10,196,49,882,1271,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.069090,13,600.000000,1,8,2233.000000,1351.000000,0.810587
50,0.500000,0.400000,4.000000,11,196,49,787,1223,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.060092,13,600.000000,1,7,2080.000000,1293.000000,0.891399
50,0.500000,0.400000,4.000000,12,200,48,829,1264,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.075425,17,600.000000,1,9,2183.000000,1354.000000,0.702222
50,0.500000,0.400000,4.000000,13,200,50,794,1225,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,0,0.051026,16,600.000000,1,8,2099.000000,1305.000000,0.765625
50,0.500000,0.400000,4.000000,14,188,49,742,1203,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.061117,14,600.000000,1,8,2025.000000,1283.000000,0.799867
50,0.500000,0.400000,4.000000,15,200,48,815,1298,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.056848,17,600.000000,1,8,2193.000000,1378.000000,0.811250
50,0.500000,0.400000,4.000000,16,200,49,801,1406,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.070333,17,600.000000,1,8,2287.000000,1486.000000,0.878750
50,0.500000,0.400000,4.000000,17,200,50,739,1260,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.053883,15,600.000000,1,8,2079.000000,1340.000000,0.787500
50,0.500000,0.400000,4.000000,19,200,50,796,1263,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.069375,15,600.000000,1,8,2139.000000,1343.000000,0.789375
50,0.500000,0.400000,4.000000,20,196,49,737,1446,Strengthened CPLEX MILP heuristic-start,19,19.000000,1,0,0.049593,19,600.000000,1,9,2273.000000,1536.000000,0.819728
50,0.500000,0.400000,4.500000,0,225,48,814,1289,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,37243,33.650846,15,600.000000,1,10,2203.000000,1389.000000,0.572889
50,0.500000,0.400000,4.500000,1,225,47,859,1096,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,0,0.056243,12,600.000000,1,6,2015.000000,1156.000000,0.811852
50,0.500000,0.400000,4.500000,2,225,49,916,1281,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.069344,13,600.000000,1,7,2267.000000,1351.000000,0.813333
50,0.500000,0.400000,4.500000,3,221,49,741,1482,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,2760,3.177767,16,600.000000,1,13,2353.000000,1612.000000,0.515837
50,0.500000,0.400000,4.500000,4,225,49,756,1285,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.066443,17,600.000000,1,7,2111.000000,1355.000000,0.815873
50,0.500000,0.400000,4.500000,5,225,49,849,1440,Strengthened CPLEX MILP heuristic-start,19,19.000000,1,0,0.069964,19,600.000000,1,8,2369.000000,1520.000000,0.800000
50,0.500000,0.400000,4.500000,6,225,49,855,1331,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.068781,15,600.000000,1,8,2266.000000,1411.000000,0.739444
50,0.500000,0.400000,4.500000,7,225,49,898,1433,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,1594,1.560863,16,600.000000,1,12,2451.000000,1553.000000,0.530741
50,0.500000,0.400000,4.500000,8,221,50,847,1387,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.073555,14,600.000000,1,7,2304.000000,1457.000000,0.896574
50,0.500000,0.400000,4.500000,9,216,50,838,1203,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,2087,2.929851,16,600.000000,1,7,2111.000000,1273.000000,0.795635
50,0.500000,0.400000,4.500000,10,221,49,882,1271,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.070334,13,600.000000,1,7,2223.000000,1341.000000,0.821590
50,0.500000,0.400000,4.500000,11,221,49,787,1223,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.060805,13,600.000000,1,7,2080.000000,1293.000000,0.790562
50,0.500000,0.400000,4.500000,12,225,48,829,1264,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.074843,17,600.000000,1,8,2173.000000,1344.000000,0.702222
50,0.500000,0.400000,4.500000,13,225,50,794,1225,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,0,0.053471,16,600.000000,1,6,2079.000000,1285.000000,0.907407
50,0.500000,0.400000,4.500000,14,212,49,742,1203,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.061464,14,600.000000,1,8,2025.000000,1283.000000,0.709316
50,0.500000,0.400000,4.500000,15,225,48,815,1298,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.070134,17,600.000000,1,7,2183.000000,1368.000000,0.824127
50,0.500000,0.400000,4.500000,16,225,49,801,1406,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.072215,17,600.000000,1,8,2287.000000,1486.000000,0.781111
50,0.500000,0.400000,4.500000,17,225,50,739,1260,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.054372,15,600.000000,1,6,2059.000000,1320.000000,0.933333
50,0.500000,0.400000,4.500000,19,225,50,796,1263,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,1688,2.401578,15,600.000000,1,8,2139.000000,1343.000000,0.701667
50,0.500000,0.400000,4.500000,20,221,49,737,1446,Strengthened CPLEX MILP heuristic-start,19,19.000000,1,0,0.049487,19,600.000000,1,8,2263.000000,1526.000000,0.817873
50,0.500000,0.400000,5.000000,0,250,48,814,1289,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,1683,3.220377,15,600.000000,1,17,2273.000000,1459.000000,0.303294
50,0.500000,0.400000,5.000000,1,250,47,859,1096,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,0,0.059113,12,600.000000,1,6,2015.000000,1156.000000,0.730667
50,0.500000,0.400000,5.000000,2,250,49,916,1281,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.069289,13,600.000000,1,6,2257.000000,1341.000000,0.854000
50,0.500000,0.400000,5.000000,3,245,49,741,1482,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.049789,15,600.000000,1,7,2293.000000,1552.000000,0.864140
50,0.500000,0.400000,5.000000,4,250,49,756,1285,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.064520,17,600.000000,1,6,2101.000000,1345.000000,0.856667
50,0.500000,0.400000,5.000000,5,250,49,849,1440,Strengthened CPLEX MILP heuristic-start,18,18.000000,1,534,0.615108,19,600.000000,1,10,2389.000000,1540.000000,0.576000
50,0.500000,0.400000,5.000000,6,250,49,855,1331,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,557,0.740637,15,600.000000,1,10,2286.000000,1431.000000,0.532400
50,0.500000,0.400000,5.000000,7,250,49,898,1433,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.051254,15,600.000000,1,7,2401.000000,1503.000000,0.818857
50,0.500000,0.400000,5.000000,8,245,50,847,1387,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.073680,14,600.000000,1,7,2304.000000,1457.000000,0.808746
50,0.500000,0.400000,5.000000,9,240,50,838,1203,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,5809,7.828180,16,600.000000,1,7,2111.000000,1273.000000,0.716071
50,0.500000,0.400000,5.000000,10,245,49,882,1271,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.074414,13,600.000000,1,7,2223.000000,1341.000000,0.741108
50,0.500000,0.400000,5.000000,11,245,49,787,1223,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.058236,13,600.000000,1,7,2080.000000,1293.000000,0.713120
50,0.500000,0.400000,5.000000,12,250,48,829,1264,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.076238,17,600.000000,1,8,2173.000000,1344.000000,0.632000
50,0.500000,0.400000,5.000000,13,250,50,794,1225,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,0,0.055132,16,600.000000,1,6,2079.000000,1285.000000,0.816667
50,0.500000,0.400000,5.000000,14,235,49,742,1203,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.057947,14,600.000000,1,6,2005.000000,1263.000000,0.853191
50,0.500000,0.400000,5.000000,15,250,48,815,1298,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.070119,17,600.000000,1,6,2173.000000,1358.000000,0.865333
50,0.500000,0.400000,5.000000,16,250,49,801,1406,Strengthened CPLEX MILP heuristic-start,16,16.000000,1,2860,2.594802,17,600.000000,1,16,2367.000000,1566.000000,0.351500
50,0.500000,0.400000,5.000000,17,250,50,739,1260,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.054093,15,600.000000,1,6,2059.000000,1320.000000,0.840000
50,0.500000,0.400000,5.000000,19,250,50,796,1263,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,1595,1.289551,15,600.000000,1,9,2149.000000,1353.000000,0.561333
50,0.500000,0.400000,5.000000,20,245,49,737,1446,Strengthened CPLEX MILP heuristic-start,18,18.000000,1,0,0.052733,18,600.000000,1,7,2253.000000,1516.000000,0.843149
50,0.500000,0.400000,5.500000,0,275,48,814,1289,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,2105,1.149967,15,600.000000,1,8,2183.000000,1369.000000,0.585909
50,0.500000,0.400000,5.500000,1,275,47,859,1096,Strengthened CPLEX MILP heuristic-start,12,12.000000,1,0,0.056256,12,600.000000,1,5,2005.000000,1146.000000,0.797091
50,0.500000,0.400000,5.500000,2,275,49,916,1281,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,0,0.066264,13,600.000000,1,6,2257.000000,1341.000000,0.776364
50,0.500000,0.400000,5.500000,3,270,49,741,1482,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,0,0.070889,15,600.000000,1,7,2293.000000,1552.000000,0.784127
50,0.500000,0.400000,5.500000,4,275,49,756,1285,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.065707,17,600.000000,1,6,2101.000000,1345.000000,0.778788
50,0.500000,0.400000,5.500000,5,275,49,849,1440,Strengthened CPLEX MILP heuristic-start,18,18.000000,1,0,0.071349,18,600.000000,1,6,2349.000000,1500.000000,0.872727
50,0.500000,0.400000,5.500000,6,275,49,855,1331,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,0,0.146148,15,600.000000,1,8,2266.000000,1411.000000,0.605000
