n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available,recharges,makespan,total_recharge_time,battery_utilization,rho,alpha,beta,policy
40,0.500000,0.400000,3.000000,10,150,40,644,1035,Full-recharge strengthened CPLEX MILP heuristic-start,14,14.000000,1,420,1.027045,15,180.000000,1,11,4769.000000,4125.000000,0.627273,0.600000,225.000000,1.000000,full
40,0.500000,0.400000,3.000000,10,150,40,644,1035,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,1150,0.912293,15,180.000000,1,10,3929.000000,3285.000000,0.690000,0.600000,225.000000,1.000000,partial
40,0.500000,0.400000,3.000000,11,147,40,659,1158,Full-recharge strengthened CPLEX MILP heuristic-start,14,14.000000,1,21083,36.441834,16,180.000000,1,12,5069.000000,4410.000000,0.656463,0.600000,220.500000,1.000000,full
40,0.500000,0.400000,3.000000,11,147,40,659,1158,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,669,1.226891,15,180.000000,1,16,5345.000000,4686.000000,0.492347,0.600000,220.500000,1.000000,partial
40,0.500000,0.400000,3.000000,12,150,40,647,1146,Full-recharge strengthened CPLEX MILP heuristic-start,13,13.000000,1,2172,5.425153,14,180.000000,1,15,6272.000000,5625.000000,0.509333,0.600000,225.000000,1.000000,full
40,0.500000,0.400000,3.000000,12,150,40,647,1146,Strengthened CPLEX MILP heuristic-start,13,13.000000,1,2090,0.950233,14,180.000000,1,14,4943.000000,4296.000000,0.545714,0.600000,225.000000,1.000000,partial
40,0.500000,0.400000,3.000000,13,147,40,539,1059,Full-recharge strengthened CPLEX MILP heuristic-start,15,15.000000,1,1629,2.737890,16,180.000000,1,11,4581.500000,4042.500000,0.654917,0.600000,220.500000,1.000000,full
40,0.500000,0.400000,3.000000,13,147,40,539,1059,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,300,0.664710,16,180.000000,1,10,3803.000000,3264.000000,0.720408,0.600000,220.500000,1.000000,partial
40,0.500000,0.400000,3.000000,14,150,40,642,1002,Full-recharge strengthened CPLEX MILP heuristic-start,14,14.000000,1,110,0.373255,15,180.000000,1,10,4392.000000,3750.000000,0.668000,0.600000,225.000000,1.000000,full
40,0.500000,0.400000,3.000000,14,150,40,642,1002,Strengthened CPLEX MILP heuristic-start,14,14.000000,1,4734,3.993323,15,180.000000,1,13,4569.000000,3927.000000,0.513846,0.600000,225.000000,1.000000,partial
40,0.500000,0.400000,3.000000,15,150,38,710,1147,Full-recharge strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.051946,17,180.000000,1,9,4085.000000,3375.000000,0.849630,0.600000,225.000000,1.000000,full
40,0.500000,0.400000,3.000000,15,150,38,710,1147,Strengthened CPLEX MILP heuristic-start,17,17.000000,1,0,0.046513,17,180.000000,1,9,3882.000000,3172.000000,0.849630,0.600000,225.000000,1.000000,partial
40,0.500000,0.400000,3.000000,16,141,40,608,963,Full-recharge strengthened CPLEX MILP heuristic-start,15,15.000000,1,9211,17.189601,17,180.000000,1,9,3780.500000,3172.500000,0.758865,0.600000,211.500000,1.000000,full
40,0.500000,0.400000,3.000000,16,141,40,608,963,Strengthened CPLEX MILP heuristic-start,15,15.000000,1,1583,2.994098,17,180.000000,1,18,5378.000000,4770.000000,0.379433,0.600000,211.500000,1.000000,partial
40,0.500000,0.400000,3.000000,17,150,40,537,980,Full-recharge strengthened CPLEX MILP heuristic-start,19,19.000000,1,0,0.167685,20,180.000000,1,9,3912.000000,3375.000000,0.725926,0.600000,225.000000,1.000000,full
40,0.500000,0.400000,3.000000,17,150,40,537,980,Strengthened CPLEX MILP heuristic-start,19,19.000000,1,1000,2.325596,20,180.000000,1,15,4892.000000,4355.000000,0.435556,0.600000,225.000000,1.000000,partial
40,0.500000,0.400000,3.000000,18,150,39,643,1063,Full-recharge strengthened CPLEX MILP heuristic-start,15,15.000000,1,20347,62.815714,16,180.000000,1,10,4393.000000,3750.000000,0.708667,0.600000,225.000000,1.000000,full
