n,theta,R,sigma,rep,capacity,actual_types,sum_p,sum_e,algorithm,objective,best_bound,certified,nodes,runtime,incumbent_initial,time_limit,available
200,0.500000,0.800000,5.000000,3,250,186,3159,4945,Strengthened CPLEX MILP heuristic-start,41,39.000000,0,6480,600.113803,41,600.000000,1
200,0.500000,0.800000,5.000000,4,250,182,3166,5053,Strengthened CPLEX MILP heuristic-start,27,27.000000,1,0,0.842037,27,600.000000,1
200,0.500000,0.800000,5.000000,5,250,187,3130,5433,Strengthened CPLEX MILP heuristic-start,24,23.000000,0,11144,600.118762,24,600.000000,1
200,0.500000,0.800000,5.000000,6,250,188,3298,5030,Strengthened CPLEX MILP heuristic-start,25,24.000000,0,7258,600.109347,25,600.000000,1
200,0.500000,0.800000,5.000000,7,245,189,3315,5025,Strengthened CPLEX MILP heuristic-start,27,27.000000,1,0,0.895566,27,600.000000,1
200,0.500000,0.800000,5.000000,8,250,187,3312,5113,Strengthened CPLEX MILP heuristic-start,31,30.000000,0,11597,600.137577,31,600.000000,1
200,0.500000,0.800000,5.000000,9,250,196,3216,4895,Strengthened CPLEX MILP heuristic-start,21,20.000000,0,16889,600.147850,21,600.000000,1
200,0.600000,0.800000,3.000000,0,150,186,3313,5260,Strengthened CPLEX MILP heuristic-start,47,47.000000,1,0,0.895157,47,600.000000,1
200,0.600000,0.800000,3.000000,1,150,188,3212,5400,Strengthened CPLEX MILP heuristic-start,70,67.000000,0,22455,600.161273,70,600.000000,1
200,0.600000,0.800000,3.000000,2,150,189,3193,5123,Strengthened CPLEX MILP heuristic-start,59,55.000000,0,17801,600.158832,59,600.000000,1
200,0.600000,0.800000,3.000000,3,150,188,3229,4904,Strengthened CPLEX MILP heuristic-start,52,52.000000,1,0,0.935216,52,600.000000,1
200,0.600000,0.800000,3.000000,4,150,188,3422,5354,Strengthened CPLEX MILP heuristic-start,49,47.000000,0,10428,600.158482,49,600.000000,1
200,0.600000,0.800000,3.000000,5,150,190,3216,5184,Strengthened CPLEX MILP heuristic-start,63,63.000000,1,0,1.025941,63,600.000000,1
200,0.600000,0.800000,3.000000,6,150,190,3017,5117,Strengthened CPLEX MILP heuristic-start,77,76.000000,0,9836,600.351553,77,600.000000,1
200,0.600000,0.800000,3.000000,7,150,186,3089,5116,Strengthened CPLEX MILP heuristic-start,62,57.000000,0,11628,600.128775,62,600.000000,1
200,0.600000,0.800000,3.000000,8,150,188,3193,5134,Strengthened CPLEX MILP heuristic-start,57,56.000000,0,11182,600.153354,58,600.000000,1
200,0.600000,0.800000,3.000000,9,150,189,3139,5407,Strengthened CPLEX MILP heuristic-start,69,68.000000,0,5780,600.124650,69,600.000000,1
200,0.600000,0.800000,5.000000,0,250,189,3318,5243,Strengthened CPLEX MILP heuristic-start,56,55.000000,0,11912,600.092604,57,600.000000,1
200,0.600000,0.800000,5.000000,1,250,188,3200,5228,Strengthened CPLEX MILP heuristic-start,57,57.000000,1,0,0.818539,57,600.000000,1
200,0.600000,0.800000,5.000000,2,250,184,3270,5004,Strengthened CPLEX MILP heuristic-start,69,66.000000,0,8313,600.086711,69,600.000000,1
200,0.600000,0.800000,5.000000,3,250,185,3248,4973,Strengthened CPLEX MILP heuristic-start,71,70.000000,0,6414,600.103031,71,600.000000,1
200,0.600000,0.800000,5.000000,4,250,189,3016,5005,Strengthened CPLEX MILP heuristic-start,55,55.000000,1,605,182.831394,55,600.000000,1
200,0.600000,0.800000,5.000000,5,250,190,3317,5215,Strengthened CPLEX MILP heuristic-start,67,64.000000,0,3727,600.086455,67,600.000000,1
200,0.600000,0.800000,5.000000,6,250,187,3441,5041,Strengthened CPLEX MILP heuristic-start,52,52.000000,1,0,0.974696,52,600.000000,1
200,0.600000,0.800000,5.000000,7,250,192,3157,5134,Strengthened CPLEX MILP heuristic-start,66,62.000000,0,4070,600.206904,66,600.000000,1
200,0.600000,0.800000,5.000000,8,250,188,3145,5378,Strengthened CPLEX MILP heuristic-start,71,68.000000,0,13455,600.116899,71,600.000000,1
200,0.600000,0.800000,5.000000,9,250,183,3464,5366,Strengthened CPLEX MILP heuristic-start,54,52.000000,0,11874,600.130177,54,600.000000,1
